departure location: 27-840 or 860-957
departure station: 28-176 or 183-949
departure platform: 44-270 or 277-967
departure track: 33-197 or 203-957
departure date: 47-660 or 677-955
departure time: 45-744 or 758-971
arrival location: 42-636 or 642-962
arrival station: 44-243 or 252-962
arrival platform: 46-428 or 449-949
arrival track: 25-862 or 876-951
class: 26-579 or 585-963
duration: 38-683 or 701-949
price: 41-453 or 460-970
route: 48-279 or 292-963
row: 33-617 or 637-955
seat: 39-328 or 351-970
train: 35-251 or 264-957
type: 25-380 or 389-951
wagon: 42-461 or 480-965
zone: 33-768 or 789-954

your ticket:
83,53,73,139,127,131,97,113,61,101,107,67,79,137,89,109,103,59,149,71

nearby tickets:
541,797,657,536,243,821,805,607,97,491,714,170,714,533,363,491,896,399,710,865
351,879,143,113,228,415,393,714,163,171,233,726,422,469,706,264,83,354,309,915
590,56,148,311,729,76,884,352,590,419,205,393,287,761,305,838,76,762,390,914
77,828,197,946,568,599,610,145,307,741,536,4,617,491,158,879,895,794,718,219
828,483,885,827,313,539,602,928,604,74,199,595,733,519,238,909,681,77,238,356
881,557,93,240,193,509,488,767,561,912,553,909,333,185,510,428,720,804,409,765
944,242,652,683,876,592,315,225,378,231,862,975,647,371,707,657,726,937,577,509
251,196,933,499,911,718,800,71,128,891,595,723,121,401,158,494,928,886,212,937
406,168,815,115,643,95,909,878,313,50,656,146,706,904,300,177,505,114,799,521
400,76,450,113,305,98,490,558,475,941,449,104,139,392,508,790,571,79,85,557
488,378,898,461,737,127,144,99,221,212,555,174,454,535,717,736,209,216,928,643
405,532,390,61,118,838,633,506,304,726,266,502,306,311,144,88,74,586,171,654
423,890,925,611,63,762,169,659,318,539,498,404,926,814,541,619,404,392,655,118
51,899,946,736,429,701,547,603,893,946,609,300,568,361,50,299,902,905,311,94
394,556,125,351,366,940,589,215,5,243,570,725,452,794,767,610,524,645,823,613
899,268,420,238,161,602,113,363,322,74,363,413,140,208,11,374,491,322,376,184
415,922,592,98,729,352,511,879,846,523,145,219,301,357,820,163,268,145,320,307
201,484,234,368,451,322,316,763,299,902,815,159,116,133,419,912,389,314,585,120
